name,mass,ri,row load,e18184_1.txt,e18184_2.txt,e18184_3.txt,e18184_4.txt,e18184_5.txt,e18184_6.txt,e18184_7.txt,e18184_8.txt,e18184_9.txt,e18184_10.txt,e18184_11.txt,e18184_12.txt,e18184_13.txt,e18184_14.txt,e18184_15.txt,e18184_16.txt,e18184_17.txt,e18184_18.txt,e18184_19.txt,e18184_20.txt,e18184_21.txt,e18184_22.txt,e18184_23.txt,e18184_24.txt,e18184_25.txt,e18184_26.txt,e18184_27.txt,e18184_28.txt,e18184_29.txt,e18184_30.txt,e18184_31.txt,e18184_32.txt,e18184_33.txt,e18184_34.txt,e18184_35.txt,e18184_36.txt,e18184_37.txt,e18184_38.txt,e18184_39.txt,e18184_40.txt,e18184_41.txt,e18184_42.txt,e18184_43.txt,e18184_44.txt,e18184_45.txt,e18184_46.txt,e18184_47.txt,e18184_48.txt,e18184_49.txt,e18184_50.txt,e18184_51.txt,e18184_52.txt,e18184_53.txt,e18184_54.txt,e18184_55.txt,e18184_56.txt,e18184_57.txt,e18184_58.txt,e18184_59.txt,e18184_60.txt,e18184_61.txt,e18184_62.txt,e18184_63.txt,e18184_64.txt,e18184_65.txt
#Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B,142,1581.7,0.5846154,,,,93800,180894,429930,,5296326,8831450,,,181511,349988,136046,,,,1616648,818943,,66979,64599,445833,,,397676,307675,378841,1165858,,2830290,309486,2605595,1380894,,,265109,,,258484,758820,,1456399,2110492,953011,,1843890,,1261766,4207488,,3080921,1089133,,1814238,2219186,852747,452216,513997,,,,689184,,
#Ornithine (3TMS)_M000028_A176006-101-0_NA_1750.77_TRUE_VAR5_ALK,174,1749.5,0.630769253,,,,124051,322529,636613,716857,2947135,6115079,,1037673,2277764,2299934,1714845,,1501808,,2998469,1333398,632400,561079,436026,1895028,,,,212599,575007,1144275,,3858669,498386,1697886,217939,,,1160043,,,614337,2965644,,2370043,1868707,849263,,1931341,,1610277,2697832,,2567236,1147936,,2538013,3142486,1799184,1494344,987708,,,,1368705,,
#Lysine (3TMS)_M000000_A186002-101-0_NA_1849.23_TRUE_VAR5_ALK,174,1852.3,0.6769231,,,,787314,1965357,3894541,4395032,1.68E+07,2.55E+07,,1.54E+07,1.27E+07,1.97E+07,1.37E+07,,1.66E+07,,4.84E+07,3.42E+07,8162550,8256235,8883291,2.45E+07,,,1.69E+07,3.78E+07,1.65E+07,3.28E+07,,1.15E+08,4.45E+07,1.18E+08,4.20E+07,,,1.18E+07,,,1.26E+07,4.17E+07,,4.70E+07,5.04E+07,9205729,,6.21E+07,67369,5.90E+07,1.17E+08,,4.16E+07,3.54E+07,79131,5.91E+07,6.37E+07,2.92E+07,4.03E+07,4.00E+07,,,,2.26E+07,,
#Glucose_(1MEOX)(5TMS)_BP_RI:1903_IDENT:B+D,319,1900.1,0.646153867,,,,1321176,,1.15E+07,1.23E+07,6.78E+07,9.81E+07,,4.27E+07,2.47E+07,4.58E+07,3.89E+07,,2.29E+07,,1.09E+08,5.45E+07,1.27E+07,1.76E+07,1.77E+07,4.30E+07,,2314049,3.84E+07,2.89E+07,1.82E+07,4.81E+07,,7.40E+07,4.18E+07,1.04E+08,3.49E+07,,,4.98E+07,,,3.19E+07,4.29E+07,,8.99E+07,8.30E+07,3.86E+07,,1.09E+08,,9.24E+07,1.08E+08,,6.76E+07,8.81E+07,,6.23E+07,6.67E+07,3.17E+07,3.58E+07,5.02E+07,,,,3.87E+07,,
#NA_M000000_A203003-101-0_NA_2013.82_PRED_VAR5_ALK,204,2026,0.6615385,,,,384458,1610497,3154301,3281335,1.23E+07,1.35E+07,,1.06E+07,6625132,1.01E+07,8673027,,5203346,,1.81E+07,1.06E+07,3224358,5058479,4873153,1.04E+07,,76690,6697239,6033851,4203637,9037717,,1.33E+07,9613883,1.51E+07,5019852,,,1.02E+07,,,6726846,9365931,,1.66E+07,1.29E+07,4140006,,1.39E+07,,1.12E+07,1.34E+07,,1.49E+07,8994047,,1.09E+07,1.32E+07,7303653,6250887,7824061,,,,9238896,,
#Glucose_(1MEOX)(5TMS)_MP_RI:1885_IDENT:B+D,217,1869.6,0.07692308,,,,,7643678,1.83E+07,2.25E+07,1.11E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Unknown 171,319,1900,0.015384615,,,,,5355874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ethanolamine (3TMS)_M000096_A128002-101-0_NA_1261.65_PRED_VAR5_ALK,174,1269.6,0.6,,,,,,,244435,757125,1763266,,1660876,1289058,1806201,1666381,,971799,,2189158,1956742,345341,628555,578217,1362633,,,1182241,2739422,764449,1806217,,2258637,4147853,1819179,1038168,,,1753227,,,632154,1426762,,1994052,2124720,726567,,1755250,,2083348,2046550,,2163690,1649434,,2474200,1993091,1518364,1748654,1886250,,,,1633039,,
#Serine (3TMS)_M000015_A138001-101-0_NA_1352.68_TRUE_VAR5_ALK,188,1367.4,0.015384615,,,,,,,,,2.36E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Butanoic acid, 2-hydroxy- (2TMS)_M000000_A111002-101-0_NA_1112.52_TRUE_VAR5_ALK",131,1119.8,0.215384617,,,,,,,,,,,948332,,,484278,,,,,,,,,382167,,1241018,,2222676,608516,2094641,,,2970057,,,,112125,,,,,763618,,,,,,,,,,,730187,,114698,,,,1901564,,,,,344961,,
#Unknown 33,117,1146.6,0.5538462,,,,,,,,,,,1.40E+07,9770541,2.07E+07,1.51E+07,,7663608,,3.20E+07,9610506,6377157,5745226,5423559,1.10E+07,,,7769485,8089642,3868153,3989130,,1.78E+07,8378560,4.32E+07,1.33E+07,,,1.66E+07,,,1.02E+07,1.44E+07,,4.63E+07,6.66E+07,2.70E+07,,5.13E+07,,3.65E+07,6.71E+07,,2.99E+07,2.17E+07,,5.35E+07,3.78E+07,2.14E+07,1.83E+07,3.10E+07,,,,2.09E+07,,
#Leucine (2TMS)_M000025_A129002-101-0_NA_1264.43_TRUE_VAR5_ALK,299,1276.7,0.138461545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Proline, 4-hydroxy-, cis- (2TMS)_M000000_A144013-101-0_NA_1449.46_TRUE_VAR5_ALK",158,1473.8,0.5538462,,,,,,,,,,,1034962,850820,1831372,928478,,754355,,1774624,938871,187003,186724,197955,729654,,,739381,1015707,394228,770152,,2208317,1036728,3121227,1164341,,,904354,,,422879,1097643,,828450,997166,1159403,,931314,,972609,1982534,,462634,988314,,592017,1560036,825159,1984701,1527685,,,,385772,,
#Threonic acid (4TMS)_M000078_A156001-101-0_NA_1545.94_TRUE_VAR5_ALK,292,1552.9,0.5538462,,,,,,,,,,,1153487,1377042,1602896,1031958,,837217,,2296347,1572536,319504,435909,433299,1445443,,,1407964,1679327,521808,937598,,2960468,1638426,3351801,1998867,,,1302200,,,664017,1532477,,2010972,2671935,987589,,2693334,,1928385,2547688,,1362258,1724696,,2480185,1924633,1037027,1278770,869244,,,,1022304,,
#Fucose (1MEOX) (4TMS) MP_M000591_A173002-101-0_NA_1716.3_TRUE_VAR5_ALK,117,1713.6,0.461538464,,,,,,,,,,,793188,,,766716,,,,946450,1586217,214720,211067,229485,,,,896652,1463625,498194,757024,,2029423,2018982,1658938,1091507,,,1237983,,,516581,,,1625290,2228060,934337,,1798489,,1732431,2086156,,1213732,1896865,,1327386,2342738,1160604,1515885,2162419,,,,,,
#Maltose_(1MEOX)(8TMS)_MP_RI:2723_IDENT:C+D,361,2719,0.5538462,,,,,,,,,,,445222,291237,270482,219779,,119010,,968356,179107,282613,114329,68101,166887,,,57229,283787,184192,203477,,149026,80966,177141,128771,,,68000,,,108593,87478,,422503,450773,116638,,164209,,264584,373550,,324305,223030,,264923,578706,449120,1613080,532027,,,,72621,,
