"file","metabolite","quantMasses","intensity","rt","ri"
"e18057cz_40.cdf","c15","71;85;99",190862313,1114.6,1500
"e18057cz_40.cdf","c17","71;85;99",219127809,1322.4,1700
"e18057cz_40.cdf","c19","71;85;99",267181271,1499.6,1900
"e18057cz_40.cdf","c22","71;85;99",208912434,1682.8,2200
"e18057cz_40.cdf","c28","71;85;99",179935438,1933.4,2800
"e18057cz_40.cdf","c32","71;85;99",138983753,2067.8,3200
"e18057cz_40.cdf","c36","71;85;99",117200339,2251.2,3600
"e18057cz_41.cdf","c10","71;85;99",169978096,408.6,1000
"e18057cz_41.cdf","c12","71;85;99",125567170,711,1200
"e18057cz_41.cdf","c15","71;85;99",183687496,1114.8,1500
"e18057cz_41.cdf","c17","71;85;99",209837367,1322.4,1700
"e18057cz_41.cdf","c19","71;85;99",258244074,1499.6,1900
"e18057cz_41.cdf","c22","71;85;99",200012887,1682.8,2200
"e18057cz_41.cdf","c28","71;85;99",147640970,1933.4,2800
"e18057cz_41.cdf","c32","71;85;99",131603797,2067.8,3200
"e18057cz_41.cdf","c36","71;85;99",112962439,2251.4,3600
"e18057cz_44.cdf","c10","71;85;99",170587964,409.8,1000
"e18057cz_44.cdf","c12","71;85;99",130763328,711,1200
"e18057cz_44.cdf","c15","71;85;99",212092816,1114.4,1500
"e18057cz_44.cdf","c17","71;85;99",268168957,1322.4,1700
"e18057cz_44.cdf","c19","71;85;99",265522416,1499.6,1900
"e18057cz_44.cdf","c22","71;85;99",221578199,1682.8,2200
"e18057cz_44.cdf","c28","71;85;99",179633900,1933.2,2800
"e18057cz_44.cdf","c32","71;85;99",146861063,2067.8,3200
"e18057cz_44.cdf","c36","71;85;99",121450710,2251.2,3600
"e18057cz_45.cdf","c10","71;85;99",175070920,409.6,1000
"e18057cz_45.cdf","c12","71;85;99",129366677,711,1200
"e18057cz_45.cdf","c15","71;85;99",189344448,1114.4,1500
"e18057cz_45.cdf","c17","71;85;99",221155788,1322.2,1700
"e18057cz_45.cdf","c19","71;85;99",246519772,1499.4,1900
"e18057cz_45.cdf","c22","71;85;99",209768535,1682.8,2200
"e18057cz_45.cdf","c28","71;85;99",179746892,1933.4,2800
"e18057cz_45.cdf","c32","71;85;99",145690446,2067.6,3200
"e18057cz_45.cdf","c36","71;85;99",120467414,2251.2,3600
"e18057cz_46.cdf","c10","71;85;99",166900620,409.4,1000
"e18057cz_46.cdf","c12","71;85;99",122245908,711,1200
"e18057cz_46.cdf","c15","71;85;99",188291586,1114.4,1500
"e18057cz_46.cdf","c17","71;85;99",229306876,1322.2,1700
"e18057cz_46.cdf","c19","71;85;99",267866557,1499.6,1900
"e18057cz_46.cdf","c22","71;85;99",216143067,1682.8,2200
"e18057cz_46.cdf","c28","71;85;99",194925426,1933.4,2800
"e18057cz_46.cdf","c32","71;85;99",140685719,2067.8,3200
"e18057cz_46.cdf","c36","71;85;99",115603430,2251.2,3600
"e18057cz_49.cdf","c10","71;85;99",145952247,408.6,1000
"e18057cz_49.cdf","c12","71;85;99",107457361,710.8,1200
"e18057cz_49.cdf","c15","71;85;99",161111306,1114.4,1500
"e18057cz_49.cdf","c17","71;85;99",185151221,1322.2,1700
"e18057cz_49.cdf","c19","71;85;99",211053671,1499.4,1900
"e18057cz_49.cdf","c22","71;85;99",175399343,1682.8,2200
"e18057cz_49.cdf","c28","71;85;99",144712820,1933.4,2800
"e18057cz_49.cdf","c32","71;85;99",119118003,2067.6,3200
"e18057cz_49.cdf","c36","71;85;99",96877378,2251.2,3600
"e18057cz_50.cdf","c10","71;85;99",174675266,409.4,1000
"e18057cz_50.cdf","c12","71;85;99",127242083,711,1200
"e18057cz_50.cdf","c15","71;85;99",198478358,1114.6,1500
"e18057cz_50.cdf","c17","71;85;99",241602992,1322.4,1700
"e18057cz_50.cdf","c19","71;85;99",263775376,1499.6,1900
"e18057cz_50.cdf","c22","71;85;99",224192743,1683,2200
"e18057cz_50.cdf","c28","71;85;99",218815697,1933.6,2800
"e18057cz_50.cdf","c32","71;85;99",150901078,2067.8,3200
"e18057cz_50.cdf","c36","71;85;99",121547993,2251.4,3600
"e18057cz_51.cdf","c10","71;85;99",179728788,409.8,1000
"e18057cz_51.cdf","c12","71;85;99",130371704,711,1200
"e18057cz_51.cdf","c15","71;85;99",198760761,1114.6,1500
"e18057cz_51.cdf","c17","71;85;99",240447014,1322.4,1700
"e18057cz_51.cdf","c19","71;85;99",266493234,1499.6,1900
"e18057cz_51.cdf","c22","71;85;99",228345186,1683,2200
"e18057cz_51.cdf","c28","71;85;99",222839297,1933.8,2800
"e18057cz_51.cdf","c32","71;85;99",156990946,2068,3200
"e18057cz_51.cdf","c36","71;85;99",126789319,2251.8,3600
"e18057cz_52.cdf","c10","71;85;99",186230603,409.6,1000
"e18057cz_52.cdf","c12","71;85;99",135986307,710.6,1200
"e18057cz_52.cdf","c15","71;85;99",212601780,1113.8,1500
"e18057cz_52.cdf","c17","71;85;99",261310946,1321.6,1700
"e18057cz_52.cdf","c19","71;85;99",316240476,1499,1900
"e18057cz_52.cdf","c22","71;85;99",229010147,1682.4,2200
"e18057cz_52.cdf","c28","71;85;99",216430967,1933,2800
"e18057cz_52.cdf","c32","71;85;99",151137039,2067.4,3200
"e18057cz_52.cdf","c36","71;85;99",121764290,2250,3600
"e18057cz_53.cdf","c10","71;85;99",192588232,409.4,1000
"e18057cz_53.cdf","c12","71;85;99",144862047,710.6,1200
"e18057cz_53.cdf","c15","71;85;99",216279698,1114.2,1500
"e18057cz_53.cdf","c17","71;85;99",247576484,1321.6,1700
"e18057cz_53.cdf","c19","71;85;99",310070518,1498.8,1900
"e18057cz_53.cdf","c22","71;85;99",237417905,1682.2,2200
"e18057cz_53.cdf","c28","71;85;99",186290582,1932.8,2800
"e18057cz_53.cdf","c32","71;85;99",153704110,2067.2,3200
"e18057cz_53.cdf","c36","71;85;99",131057840,2250,3600
"e18057cz_57.cdf","c10","71;85;99",174272556,408.2,1000
"e18057cz_57.cdf","c12","71;85;99",127286798,709.6,1200
"e18057cz_57.cdf","c15","71;85;99",225867489,1113.8,1500
"e18057cz_57.cdf","c17","71;85;99",256954127,1321.8,1700
"e18057cz_57.cdf","c19","71;85;99",231496180,1499,1900
"e18057cz_57.cdf","c22","71;85;99",227940900,1682.6,2200
"e18057cz_57.cdf","c28","71;85;99",155341488,1933.2,2800
"e18057cz_57.cdf","c32","71;85;99",128115637,2067.6,3200
"e18057cz_57.cdf","c36","71;85;99",125845178,2251,3600
"e18057cz_58.cdf","c10","71;85;99",177343071,409.8,1000
"e18057cz_58.cdf","c12","71;85;99",125011094,711.2,1200
"e18057cz_58.cdf","c15","71;85;99",169233290,1114.6,1500
"e18057cz_58.cdf","c17","71;85;99",193313625,1322.4,1700
"e18057cz_58.cdf","c19","71;85;99",227682732,1499.6,1900
"e18057cz_58.cdf","c22","71;85;99",184309869,1682.8,2200
"e18057cz_58.cdf","c28","71;85;99",149815301,1933.4,2800
