"file","metabolite","quantMasses","intensity","rt","ri"
"e10222ch_97_c2.cdf","c36","71;85;99",16316891,2534.83,3600
"e10222ch_98_c3.cdf","c10","71;85;99",18569404,393.816,1000
"e10222ch_98_c3.cdf","c12","71;85;99",14529627,688.016,1200
"e10222ch_98_c3.cdf","c15","71;85;99",19368590,1086.22,1500
"e10222ch_98_c3.cdf","c18","71;85;99",20344253,1386.62,1800
"e10222ch_98_c3.cdf","c19","71;85;99",30190767,1475.02,1900
"e10222ch_98_c3.cdf","c22","71;85;99",32299549,1715.02,2200
"e10222ch_98_c3.cdf","c28","71;85;99",27838098,2114.02,2800
"e10222ch_98_c3.cdf","c32","71;85;99",22530386,2336.82,3200
"e10222ch_98_c3.cdf","c36","71;85;99",16545323,2534.82,3600
"e10222ch_99_c4.cdf","c10","71;85;99",19368391,394.062,1000
"e10222ch_99_c4.cdf","c12","71;85;99",14240178,688.062,1200
"e10222ch_99_c4.cdf","c15","71;85;99",17603965,1086.46,1500
"e10222ch_99_c4.cdf","c18","71;85;99",20165588,1386.66,1800
"e10222ch_99_c4.cdf","c19","71;85;99",31418867,1475.06,1900
"e10222ch_99_c4.cdf","c22","71;85;99",34424972,1715.06,2200
"e10222ch_99_c4.cdf","c28","71;85;99",28554002,2114.06,2800
"e10222ch_99_c4.cdf","c32","71;85;99",23110928,2336.66,3200
"e10222ch_99_c4.cdf","c36","71;85;99",16437560,2534.86,3600
"e10222ch_30_Quant1_200.cdf","c10","71;85;99",18150943,394.047,1000
"e10222ch_30_Quant1_200.cdf","c12","71;85;99",11443988,688.447,1200
"e10222ch_30_Quant1_200.cdf","c15","71;85;99",10440166,1086.45,1500
"e10222ch_30_Quant1_200.cdf","c18","71;85;99",11207433,1386.65,1800
"e10222ch_30_Quant1_200.cdf","c19","71;85;99",13791440,1475.05,1900
"e10222ch_30_Quant1_200.cdf","c22","71;85;99",21621814,1715.25,2200
"e10222ch_30_Quant1_200.cdf","c28","71;85;99",21983015,2114.45,2800
"e10222ch_30_Quant1_200.cdf","c32","71;85;99",17670951,2337.25,3200
"e10222ch_30_Quant1_200.cdf","c36","71;85;99",11934143,2535.25,3600
"e10222ch_31_Quant1_100.cdf","c10","71;85;99",17992324,394.278,1000
"e10222ch_31_Quant1_100.cdf","c12","71;85;99",11592346,688.478,1200
"e10222ch_31_Quant1_100.cdf","c15","71;85;99",10826701,1086.68,1500
"e10222ch_31_Quant1_100.cdf","c18","71;85;99",11246710,1386.88,1800
"e10222ch_31_Quant1_100.cdf","c19","71;85;99",13765523,1475.28,1900
"e10222ch_31_Quant1_100.cdf","c22","71;85;99",21569965,1715.48,2200
"e10222ch_31_Quant1_100.cdf","c28","71;85;99",22045493,2114.68,2800
"e10222ch_31_Quant1_100.cdf","c32","71;85;99",18125345,2337.28,3200
"e10222ch_31_Quant1_100.cdf","c36","71;85;99",12859359,2535.48,3600
"e10222ch_32_Quant1_50.cdf","c10","71;85;99",18519851,394.046,1000
"e10222ch_32_Quant1_50.cdf","c12","71;85;99",11638645,688.446,1200
"e10222ch_32_Quant1_50.cdf","c15","71;85;99",10937546,1086.45,1500
"e10222ch_32_Quant1_50.cdf","c18","71;85;99",11333682,1386.85,1800
"e10222ch_32_Quant1_50.cdf","c19","71;85;99",13890269,1475.05,1900
"e10222ch_32_Quant1_50.cdf","c22","71;85;99",21692469,1715.45,2200
"e10222ch_32_Quant1_50.cdf","c28","71;85;99",21548549,2114.45,2800
"e10222ch_32_Quant1_50.cdf","c32","71;85;99",17582176,2337.25,3200
"e10222ch_32_Quant1_50.cdf","c36","71;85;99",12033399,2535.25,3600
"e10222ch_33_Quant1_20.cdf","c10","71;85;99",18962149,394.278,1000
"e10222ch_33_Quant1_20.cdf","c12","71;85;99",12039925,688.478,1200
"e10222ch_33_Quant1_20.cdf","c15","71;85;99",11351320,1086.48,1500
"e10222ch_33_Quant1_20.cdf","c18","71;85;99",12075014,1386.68,1800
"e10222ch_33_Quant1_20.cdf","c19","71;85;99",14731113,1474.88,1900
"e10222ch_33_Quant1_20.cdf","c22","71;85;99",22853189,1715.28,2200
"e10222ch_33_Quant1_20.cdf","c28","71;85;99",22596617,2114.48,2800
"e10222ch_33_Quant1_20.cdf","c32","71;85;99",17779630,2337.28,3200
"e10222ch_33_Quant1_20.cdf","c36","71;85;99",11483247,2535.28,3600
"e10222ch_34_Quant1_10.cdf","c10","71;85;99",18794910,394.216,1000
"e10222ch_34_Quant1_10.cdf","c12","71;85;99",11944506,688.616,1200
"e10222ch_34_Quant1_10.cdf","c15","71;85;99",10607844,1086.62,1500
"e10222ch_34_Quant1_10.cdf","c18","71;85;99",11186115,1386.82,1800
"e10222ch_34_Quant1_10.cdf","c19","71;85;99",14014375,1475.22,1900
"e10222ch_34_Quant1_10.cdf","c22","71;85;99",21765908,1715.42,2200
"e10222ch_34_Quant1_10.cdf","c28","71;85;99",21939275,2114.62,2800
"e10222ch_34_Quant1_10.cdf","c32","71;85;99",17700092,2337.42,3200
"e10222ch_34_Quant1_10.cdf","c36","71;85;99",12101510,2535.42,3600
"e10222ch_35_Quant1_5.cdf","c10","71;85;99",17030560,394.016,1000
"e10222ch_35_Quant1_5.cdf","c12","71;85;99",10375193,688.416,1200
"e10222ch_35_Quant1_5.cdf","c15","71;85;99",9333019,1086.62,1500
"e10222ch_35_Quant1_5.cdf","c18","71;85;99",10011036,1386.82,1800
"e10222ch_35_Quant1_5.cdf","c19","71;85;99",12184882,1475.02,1900
"e10222ch_35_Quant1_5.cdf","c22","71;85;99",18878442,1715.42,2200
"e10222ch_35_Quant1_5.cdf","c28","71;85;99",18889341,2114.42,2800
"e10222ch_35_Quant1_5.cdf","c32","71;85;99",14955416,2337.22,3200
"e10222ch_35_Quant1_5.cdf","c36","71;85;99",9897563,2535.42,3600
"e10222ch_36_Quant1_2.cdf","c10","71;85;99",17659164,394.216,1000
"e10222ch_36_Quant1_2.cdf","c12","71;85;99",10811443,688.616,1200
"e10222ch_36_Quant1_2.cdf","c15","71;85;99",9471010,1086.82,1500
"e10222ch_36_Quant1_2.cdf","c18","71;85;99",10314932,1387.02,1800
"e10222ch_36_Quant1_2.cdf","c19","71;85;99",12911803,1475.22,1900
"e10222ch_36_Quant1_2.cdf","c22","71;85;99",19496887,1715.62,2200
"e10222ch_36_Quant1_2.cdf","c28","71;85;99",19806653,2114.62,2800
"e10222ch_36_Quant1_2.cdf","c32","71;85;99",16216800,2337.42,3200
"e10222ch_36_Quant1_2.cdf","c36","71;85;99",11303133,2535.62,3600
"e10222ch_37_Quant1_1.cdf","c10","71;85;99",17449047,394.216,1000
"e10222ch_37_Quant1_1.cdf","c12","71;85;99",10660564,688.616,1200
