"file","metabolite","start","end","Area"
"e10222ch_100_c5.cdf","Unknown 302",1359.23,1365.03,31085
"e10222ch_100_c5.cdf","Unknown 303",1363.43,1373.03,304868
"e10222ch_100_c5.cdf","Unknown 304",1366.43,1372.43,44098
"e10222ch_100_c5.cdf","Unknown 305",1371.03,1380.63,193672
"e10222ch_100_c5.cdf","Unknown 306",1373.43,1379.63,13444
"e10222ch_100_c5.cdf","Unknown 307",1377.43,1386.43,18967
"e10222ch_100_c5.cdf","Unknown 308",1380.23,1391.03,340229
"e10222ch_100_c5.cdf","Unknown 309",1380.83,1392.63,11010537
"e10222ch_100_c5.cdf","Unknown 310",1387.23,1392.03,16013
"e10222ch_100_c5.cdf","Unknown 311",1388.03,1398.03,57220
"e10222ch_100_c5.cdf","Unknown 312",1389.23,1398.83,125902
"e10222ch_100_c5.cdf","Unknown 313",1387.63,1403.83,1517588
"e10222ch_100_c5.cdf","Unknown 314",1391.23,1399.03,69523
"e10222ch_100_c5.cdf","Unknown 315",1391.03,1399.43,49000
"e10222ch_100_c5.cdf","Unknown 316",1396.43,1401.03,35053
"e10222ch_100_c5.cdf","Unknown 317",1398.23,1403.63,19916
"e10222ch_100_c5.cdf","Unknown 318",1400.83,1404.83,27441
"e10222ch_100_c5.cdf","Unknown 319",1401.63,1412.23,488638
"e10222ch_100_c5.cdf","Unknown 320",1408.63,1414.03,153455
"e10222ch_100_c5.cdf","Unknown 321",1412.23,1422.03,255310
"e10222ch_100_c5.cdf","Unknown 322",1414.03,1421.03,37016
"e10222ch_100_c5.cdf","Unknown 323",1411.03,1424.23,70802
"e10222ch_100_c5.cdf","Unknown 324",1419.23,1425.83,54944
"e10222ch_100_c5.cdf","Unknown 325",1423.03,1432.83,601841
"e10222ch_100_c5.cdf","Unknown 326",1424.23,1436.23,5726366
"e10222ch_100_c5.cdf","Unknown 327",1423.43,1435.43,66277
"e10222ch_100_c5.cdf","Unknown 328",1430.83,1436.63,25042
"e10222ch_100_c5.cdf","Unknown 329",1431.63,1436.83,65209
"e10222ch_100_c5.cdf","Unknown 330",1433.63,1441.83,604889
"e10222ch_100_c5.cdf","Unknown 331",1435.83,1444.43,30069
"e10222ch_100_c5.cdf","Unknown 332",1440.43,1448.83,15208
"e10222ch_100_c5.cdf","Unknown 333",1441.23,1451.03,1859764
"e10222ch_100_c5.cdf","Unknown 334",1441.83,1455.43,303221
"e10222ch_100_c5.cdf","Unknown 335",1443.23,1449.23,47718
"e10222ch_100_c5.cdf","Unknown 336",1441.83,1452.43,440330
"e10222ch_100_c5.cdf","Unknown 337",1442.43,1451.63,153247
"e10222ch_100_c5.cdf","Unknown 338",1444.23,1454.23,73061
"e10222ch_100_c5.cdf","Unknown 339",1448.83,1454.63,67899
"e10222ch_100_c5.cdf","Unknown 340",1450.43,1457.43,83512
"e10222ch_100_c5.cdf","Unknown 341",1452.83,1459.23,18357
"e10222ch_100_c5.cdf","Unknown 342",1454.83,1461.63,136885
"e10222ch_100_c5.cdf","Unknown 343",1455.03,1472.63,2532961
"e10222ch_100_c5.cdf","Unknown 344",1452.43,1471.83,70467178
"e10222ch_100_c5.cdf","Unknown 345",1461.63,1471.63,63169
"e10222ch_100_c5.cdf","Unknown 346",1463.83,1473.43,952616
"e10222ch_100_c5.cdf","Unknown 347",1471.03,1484.23,16042714
"e10222ch_100_c5.cdf","Unknown 348",1473.03,1484.83,30106655
"e10222ch_100_c5.cdf","Unknown 349",1477.23,1484.03,232343
"e10222ch_100_c5.cdf","Unknown 350",1479.23,1484.83,93958
"e10222ch_100_c5.cdf","Unknown 351",1479.83,1491.23,31194
"e10222ch_100_c5.cdf","Unknown 352",1481.03,1491.23,927014
"e10222ch_100_c5.cdf","Unknown 353",1481.83,1489.43,53701
"e10222ch_100_c5.cdf","Unknown 354",1483.83,1490.03,528535
"e10222ch_100_c5.cdf","Unknown 355",1482.23,1491.63,67139
"e10222ch_100_c5.cdf","Unknown 356",1488.83,1496.63,784341
"e10222ch_100_c5.cdf","Unknown 357",1495.03,1500.03,29449
"e10222ch_100_c5.cdf","Unknown 358",1496.43,1503.63,15293
"e10222ch_100_c5.cdf","Unknown 359",1498.03,1507.43,959595
"e10222ch_100_c5.cdf","Unknown 360",1503.23,1508.03,29747
"e10222ch_100_c5.cdf","Unknown 361",1505.23,1511.23,28421
"e10222ch_100_c5.cdf","Unknown 362",1507.43,1513.23,11665
"e10222ch_100_c5.cdf","Unknown 363",1507.83,1523.03,899155
"e10222ch_100_c5.cdf","Unknown 364",1511.03,1517.83,36789
"e10222ch_100_c5.cdf","Unknown 365",1511.63,1518.23,22952
"e10222ch_100_c5.cdf","Unknown 366",1515.43,1520.83,189064
"e10222ch_100_c5.cdf","Unknown 367",1517.83,1524.43,12848
"e10222ch_100_c5.cdf","Unknown 368",1517.63,1525.23,24478
"e10222ch_100_c5.cdf","Unknown 369",1520.03,1525.23,37020
"e10222ch_100_c5.cdf","Unknown 370",1523.23,1528.23,35709
"e10222ch_100_c5.cdf","Unknown 371",1523.83,1528.03,15472
"e10222ch_100_c5.cdf","Unknown 372",1523.23,1529.23,322058
"e10222ch_100_c5.cdf","Unknown 373",1525.03,1534.83,130174
"e10222ch_100_c5.cdf","Unknown 374",1528.03,1539.23,7837820
"e10222ch_100_c5.cdf","Unknown 375",1524.63,1537.03,289676
"e10222ch_100_c5.cdf","Unknown 376",1529.03,1540.43,33033
"e10222ch_100_c5.cdf","Unknown 377",1533.63,1542.03,37336
"e10222ch_100_c5.cdf","Unknown 378",1533.83,1541.43,59804
"e10222ch_100_c5.cdf","Unknown 379",1535.83,1541.63,23283
"e10222ch_100_c5.cdf","Unknown 380",1536.83,1542.03,49029
"e10222ch_100_c5.cdf","Unknown 381",1536.63,1543.83,104390
"e10222ch_100_c5.cdf","Unknown 382",1537.63,1548.03,95378
"e10222ch_100_c5.cdf","Unknown 383",1540.63,1547.83,177217
"e10222ch_100_c5.cdf","Unknown 384",1541.63,1547.63,14633
"e10222ch_100_c5.cdf","Unknown 385",1542.23,1551.83,55612
"e10222ch_100_c5.cdf","Unknown 386",1546.63,1554.63,65031
"e10222ch_100_c5.cdf","Unknown 387",1551.63,1562.23,111903
"e10222ch_100_c5.cdf","Unknown 388",1554.63,1562.43,28971
"e10222ch_100_c5.cdf","Unknown 389",1555.43,1562.83,66092
"e10222ch_100_c5.cdf","Unknown 390",1555.43,1561.43,16153
"e10222ch_100_c5.cdf","Unknown 391",1555.23,1568.63,109931
"e10222ch_100_c5.cdf","Unknown 392",1560.83,1572.83,27809
"e10222ch_100_c5.cdf","Unknown 393",1561.43,1568.43,162970
"e10222ch_100_c5.cdf","Unknown 394",1561.63,1570.63,59395
